prefecture,pop1909,pop1914,pop1920,pop1925
Hokkaido,1322400,1650100,2359183,2498679
Aomori,698900,747200,756454,812977
Iwate,760800,827500,845540,900984
Miyagi,854100,912700,961768,1044036
Akita,869800,918800,898537,936408
Yamagata,892100,950700,968925,1027297
Fukushima,1183300,1260600,1362750,1437596
Ibaraki,1216400,1290000,1350400,1409092
Tochigi,926700,995700,1046479,1090428
Gumma,906700,984500,1052610,1118858
Saitama,1229500,1304700,1319533,1394461
Chiba,1312200,1367400,1336155,1399257
Tokyo,2681400,2809600,3699428,4485144
Kanagawa,1092100,1145100,1323390,1416792
Niigata,1765500,1877600,1776474,1849807
Toyama,748700,784100,724276,749243
Ishikawa,752000,779400,747360,750854
Fukui,612100,637100,599155,597899
Yamanashi,550000,585700,583453,600675
Nagano,1352200,1448600,1562722,1629217
Gifu,995100,1065000,1070407,1132557
Shizuoka,1323100,1461800,1550387,1671217
Aichi,1786500,1962500,2089762,2319494
Mie,1031200,1077900,1069270,1107692
Shiga,657400,671200,651050,662412
Kyoto,1099800,1222700,1287147,1406382
Osaka,1948200,2175700,2587847,3059502
Hyogo,1891000,2048500,2301799,2454679
Nara,548600,580200,564607,583828
Wakayama,700400,757700,750411,787511
Tottori,426300,455200,454675,472230
Shimane,721800,750800,714712,722402
Okayama,1174700,1234200,1217698,1238447
Hiroshima,1533900,1624500,1541905,1617680
Yamaguchi,1012000,1060900,1041013,1094544
Tokushima,698800,724700,670212,689814
Kagawa,704500,744100,677852,700308
Ehime,1024300,1093100,1046720,1096366
Kochi,647800,690200,670895,687478
Fukuoka,1635400,1808200,2188249,2301668
Saga,650700,678600,673895,684831
Nagasaki,1048900,1082600,1136182,1163945
Kumamoto,1204100,1279300,1233233,1296086
Oita,856200,899600,860282,915136
Miyazaki,528600,585600,651097,691094
Kagoshima,1246100,1368700,1415582,1472193
Okinawa,496000,531200,571572,557622
