city,prop_killed
"Albany, NY",0.005532
"Baltimore, MD",0.005593
"Birmingham, AL",0.005918
"Boston, MA",0.0071
"Buffalo, NY",0.005295
"Cambridge, MA",0.00541
"Chicago, IL",0.003732
"Cincinnati, OH",0.004512
"Cleveland, OH",0.00474
"Columbus, OH",0.003117
"Dayton, OH",0.0041
"Denver, CO",0.006309
"Fall River, MA",0.006213
"Grand Rapids, MI",0.002105
"Indianapolis, IN",0.0029
"Kansas City, MO",0.005798
"Los Angeles, CA",0.004938
"Louisville, KY",0.004064
"Lowell, MA",0.005229
"Milwaukee, WI",0.002915
"Minneapolis, MN",0.002671
"Nashville, TN",0.006104
"New Haven, CT",0.005865
"New Orleans, LA",0.00734
"New York City, NY",0.00725
"Newark, NJ",0.00533
"Oakland, CA",0.005062
"Omaha, NE",0.00554
"Philadelphia, PA",0.007484
"Pittsburgh, PA",0.008068
"Portland, OR",0.005052
"Providence, RI",0.005742
"Richmond, VA",0.005083
"Rochester, NY",0.003591
"San Francisco, CA",0.00358
"Seattle, WA",0.004132
"Spokane, WA",0.006727
"St Louis, MO",0.004141
"St. Paul, MN",0.004818
"Syracuse, NY",0.005414
"Toledo, OH",0.002945
"Washington, DC",0.006076
"Worchester, MA",0.006547
